,age,father,mother
1134,0,Non Interview,Non Interview
1135,0,Non Interview,Non Interview
1136,0,Non Interview,Non Interview
1137,0,Non Interview,Non Interview
1138,0,No,No
1139,0,Non Interview,Non Interview
1140,19,No,No
1141,0,No,No
1142,0,No,No
1143,0,No,No
1144,0,No,No
1145,0,No,No
1146,0,No,No
1147,0,No,No
1148,0,No,No
1149,0,No,No
1150,0,No,No
1151,0,No,No
1152,0,No,No
1153,0,No,No
1154,0,Non Interview,Non Interview
1155,0,Non Interview,Non Interview
1156,0,No,No
1157,0,No,No
1158,0,No,No
1159,0,No,No
1160,0,Non Interview,Non Interview
1161,0,No,No
1162,0,No,No
1163,0,No,No
1164,0,Non Interview,Non Interview
1165,0,No,No
1166,19,Non Interview,Non Interview
1167,0,No,No
1168,0,Non Interview,Non Interview
1169,0,No,No
1170,0,Non Interview,Non Interview
1171,0,No,No
1172,0,Non Interview,Non Interview
1173,0,No,No
1174,0,Non Interview,Non Interview
1175,0,Non Interview,Non Interview
1176,0,Non Interview,Non Interview
1177,0,Non Interview,Non Interview
1178,0,Non Interview,Non Interview
1179,0,Non Interview,Non Interview
1180,0,No,No
1181,0,No,No
1182,22,No,No
1183,27,No,No
1184,0,No,No
1185,0,No,No
1186,0,No,No
1187,0,No,No
1188,0,No,No
1189,0,No,No
1190,0,Non Interview,Non Interview
1191,0,No,No
1192,30,No,No
1193,0,No,No
1194,0,No,No
1195,0,No,No
1196,0,No,No
1197,25,Yes,No
1198,0,Valid Skip,No
1199,25,Don't Know,No
1200,19,No,No
1201,0,No,No
1202,0,No,No
1203,0,No,No
1204,0,No,No
1205,0,No,No
1206,0,No,No
1207,21,No,No
1208,23,Yes,No
1209,0,No,No
1210,0,Valid Skip,No
1211,0,Non Interview,Non Interview
1212,0,Don't Know,No
1213,0,No,No
1214,0,No,No
1215,0,Valid Skip,No
1216,0,No,No
1217,0,No,No
1218,0,No,No
1219,0,Non Interview,Non Interview
1220,0,No,No
1221,0,No,No
1222,0,No,No
1223,0,Non Interview,Non Interview
1224,0,No,No
1225,0,No,No
1226,0,No,No
1227,0,No,No
1228,0,Non Interview,Non Interview
1229,0,No,No
1230,0,No,No
1231,0,No,No
1232,0,No,No
1233,0,No,No
1234,0,Non Interview,Non Interview
1235,0,No,No
1236,0,Non Interview,Non Interview
1237,0,No,No
1238,0,No,No
1239,0,No,No
1240,0,Non Interview,Non Interview
1241,0,Non Interview,Non Interview
1242,0,Non Interview,Non Interview
1243,0,No,No
1244,0,No,No
1245,0,No,No
1246,0,Non Interview,Non Interview
1247,0,No,No
1248,0,No,No
1249,0,No,No
1250,0,No,No
1251,0,No,No
1252,0,No,No
1253,0,Non Interview,Non Interview
1254,22,No,No
1255,0,No,No
1256,0,Non Interview,Non Interview
1257,0,Non Interview,Non Interview
1258,0,No,No
1259,0,No,No
1260,0,No,No
1261,0,No,No
1262,0,No,No
1263,0,No,No
1264,0,Yes,No
1265,0,No,No
1266,0,Non Interview,Non Interview
1267,0,No,No
1268,0,No,No
1269,0,No,No
1270,28,Valid Skip,No
1271,0,Non Interview,Non Interview
1272,0,Non Interview,Non Interview
1273,25,No,No
1274,0,No,No
1275,0,No,No
1276,0,No,No
1277,0,No,No
1278,0,Non Interview,Non Interview
1279,0,No,No
1280,0,No,No
1281,0,Non Interview,Non Interview
1282,0,No,No
1283,0,No,No
1284,0,No,No
1285,21,No,No
1286,0,No,No
1287,0,Non Interview,Non Interview
1288,0,No,No
1289,0,No,No
1290,0,No,No
1291,0,Non Interview,Non Interview
1292,0,No,No
1293,0,Non Interview,Non Interview
1294,0,No,No
1295,0,No,No
1296,0,Valid Skip,No
1297,0,Non Interview,Non Interview
1298,0,Non Interview,Non Interview
1299,0,No,No
1300,0,No,No
1301,0,No,No
1302,0,Valid Skip,No
1303,0,No,No
1304,0,No,No
1305,0,No,No
1306,0,No,No
1307,0,No,No
1308,20,No,No
1309,0,No,No
1310,0,No,No
1311,0,Non Interview,Non Interview
1312,0,No,No
