,-4,0,1,2,3,4,-3,5
MAR_STATUS_2010.01,928.0,3526.0,1479.0,2483.0,115.0,426.0,20.0,7.0
MAR_STATUS_2010.02,946.0,3511.0,1474.0,2489.0,108.0,429.0,20.0,7.0
MAR_STATUS_2010.03,958.0,3496.0,1465.0,2494.0,105.0,440.0,19.0,7.0
MAR_STATUS_2010.04,970.0,3482.0,1450.0,2511.0,100.0,444.0,19.0,8.0
MAR_STATUS_2010.05,978.0,3458.0,1441.0,2535.0,99.0,448.0,18.0,7.0
MAR_STATUS_2010.06,978.0,3429.0,1430.0,2583.0,97.0,443.0,17.0,7.0
MAR_STATUS_2010.07,978.0,3429.0,1403.0,2605.0,99.0,446.0,17.0,7.0
MAR_STATUS_2010.08,978.0,3409.0,1393.0,2630.0,102.0,448.0,17.0,7.0
MAR_STATUS_2010.09,978.0,3398.0,1372.0,2659.0,102.0,451.0,17.0,7.0
MAR_STATUS_2010.10,978.0,3372.0,1370.0,2682.0,102.0,456.0,17.0,7.0
MAR_STATUS_2010.11,985.0,3354.0,1362.0,2695.0,97.0,465.0,19.0,7.0
MAR_STATUS_2010.12,1011.0,3334.0,1348.0,2689.0,106.0,467.0,21.0,8.0
MAR_STATUS_2011.01,1029.0,3299.0,1365.0,2684.0,106.0,472.0,21.0,8.0
MAR_STATUS_2011.02,1056.0,3276.0,1368.0,2668.0,110.0,474.0,23.0,9.0
MAR_STATUS_2011.03,1069.0,3247.0,1370.0,2673.0,112.0,482.0,22.0,9.0
MAR_STATUS_2011.04,1078.0,3220.0,1368.0,2689.0,111.0,485.0,24.0,9.0
MAR_STATUS_2011.05,1093.0,3201.0,1352.0,2704.0,111.0,490.0,24.0,9.0
MAR_STATUS_2011.06,1101.0,3171.0,1355.0,2723.0,116.0,485.0,24.0,9.0
MAR_STATUS_2011.07,1102.0,3155.0,1337.0,2756.0,113.0,489.0,23.0,9.0
MAR_STATUS_2011.08,1102.0,3136.0,1332.0,2776.0,112.0,494.0,23.0,9.0
MAR_STATUS_2011.09,1102.0,3121.0,1317.0,2793.0,114.0,504.0,23.0,10.0
MAR_STATUS_2011.10,1141.0,3091.0,1301.0,2786.0,114.0,515.0,25.0,11.0
MAR_STATUS_2011.11,1232.0,3030.0,1297.0,2761.0,109.0,519.0,25.0,11.0
MAR_STATUS_2011.12,1294.0,2999.0,1277.0,2745.0,107.0,526.0,24.0,12.0
MAR_STATUS_2012.01,1345.0,2948.0,1288.0,2734.0,106.0,527.0,24.0,12.0
MAR_STATUS_2012.02,1373.0,2920.0,1287.0,2736.0,102.0,530.0,24.0,12.0
MAR_STATUS_2012.03,1393.0,2908.0,1277.0,2737.0,99.0,534.0,24.0,12.0
MAR_STATUS_2012.04,1394.0,2894.0,1274.0,2750.0,97.0,539.0,24.0,12.0
MAR_STATUS_2012.05,1405.0,2871.0,1272.0,2761.0,93.0,546.0,24.0,12.0
MAR_STATUS_2012.06,1418.0,2842.0,1263.0,2790.0,90.0,546.0,23.0,12.0
MAR_STATUS_2012.07,1427.0,2820.0,1262.0,2804.0,86.0,550.0,23.0,12.0
MAR_STATUS_2012.08,1427.0,2820.0,1238.0,2830.0,85.0,549.0,23.0,12.0
MAR_STATUS_2012.09,1427.0,2809.0,1231.0,2847.0,84.0,551.0,23.0,12.0
MAR_STATUS_2012.10,1427.0,2799.0,1209.0,2879.0,82.0,553.0,23.0,12.0
