,LCI,top3_3,,,,,
6605,0,Biological mother only,,,,,
6606,2,Both biological parents,,,,,
6608,1,Both biological parents,,,,,
6609,1,Anything else,,,,,
6610,1,Both biological parents,,,,,
6611,0,Biological mother only,,,,,
6612,3,Anything else,,,,,
6613,3,Anything else,,,,,
6614,3,Anything else,,,,,
6615,0,Biological mother only,,,,,
6617,1,"Two parents, biological mother",,,,,
6619,1,"Two parents, biological mother",,,,,
6620,3,Anything else,,,,,
6621,4,Both biological parents,,,,,
6622,1,Biological mother only,,,,,
6623,0,"Two parents, biological mother",,,,,
6624,0,Both biological parents,,,,,
6625,0,Both biological parents,,,,,
6626,1,Biological mother only,,,,,
6627,2,Both biological parents,,,,,
6628,1,Both biological parents,,,,,
6629,1,Both biological parents,,,,,
6630,1,Anything else,,,,,
6631,1,Both biological parents,,,,,
6632,3,Both biological parents,,,,,
6633,0,Biological mother only,,,,,
6634,7,Anything else,,,,,
6635,3,Both biological parents,,,,,
6636,1,Anything else,,,,,
6637,0,Biological mother only,,,,,
6638,7,Both biological parents,,,,,
6639,1,Anything else,,,,,
6640,1,Both biological parents,,,,,
6642,0,Both biological parents,,,,,
6644,4,Anything else,,,,,
6645,1,Both biological parents,,,,,
6646,3,Biological mother only,,,,,
6647,1,"Two parents, biological mother",,,,,
6648,3,Anything else,,,,,
6649,1,Both biological parents,,,,,
6650,2,Both biological parents,,,,,
6651,0,Both biological parents,,,,,
6652,1,Anything else,,,,,
6654,3,Anything else,,,,,
6656,2,Both biological parents,,,,,
6657,2,"Two parents, biological mother",,,,,
6658,3,Anything else,,,,,
6660,0,Both biological parents,,,,,
6661,4,Both biological parents,,,,,
6662,2,Both biological parents,,,,,
6663,1,Biological mother only,,,,,
6664,3,Both biological parents,,,,,
6665,0,Biological mother only,,,,,
6666,2,Biological mother only,,,,,
6667,1,Anything else,,,,,
6668,7,Anything else,,,,,
6669,0,Anything else,,,,,
6671,1,Both biological parents,,,,,
6672,1,Both biological parents,,,,,
6673,0,Biological father only,,,,,
6674,1,Biological mother only,,,,,
6675,12,Biological mother only,,,,,
6676,2,Both biological parents,,,,,
6677,0,Anything else,,,,,
6678,1,Biological mother only,,,,,
6679,1,Anything else,,,,,
6680,0,Both biological parents,,,,,
6681,0,Both biological parents,,,,,
6685,1,Both biological parents,,,,,
6686,1,Anything else,,,,,
6687,1,Anything else,,,,,
6688,0,Both biological parents,,,,,
6689,1,Anything else,,,,,
6692,1,Anything else,,,,,
6693,4,Anything else,,,,,
6695,1,Biological mother only,,,,,
6696,5,Biological mother only,,,,,
6697,0,Anything else,,,,,
6698,0,Biological mother only,,,,,
6699,5,Anything else,,,,,
6700,1,Both biological parents,,,,,
6701,3,Biological mother only,,,,,
6702,0,Anything else,,,,,
6703,0,Biological mother only,,,,,
6705,1,Both biological parents,,,,,
6706,1,Anything else,,,,,
6707,0,Both biological parents,,,,,
6708,1,Both biological parents,,,,,
6709,0,Biological mother only,,,,,
6710,3,Both biological parents,,,,,
6711,0,Both biological parents,,,,,
6713,1,Both biological parents,,,,,
6714,3,Biological mother only,,,,,
6716,0,Both biological parents,,,,,
6717,2,Both biological parents,,,,,
6718,1,Both biological parents,,,,,
6719,1,Both biological parents,,,,,
6720,1,Anything else,,,,,
6721,0,Both biological parents,,,,,
6722,0,Both biological parents,,,,,
6723,1,Both biological parents,,,,,
6724,1,Both biological parents,,,,,
6725,0,Both biological parents,,,,,
6726,8,Anything else,,,,,
6727,7,Biological mother only,,,,,
6728,5,Biological mother only,,,,,
6729,7,Anything else,,,,,
6730,1,Both biological parents,,,,,
6732,2,Biological mother only,,,,,
6733,3,Biological mother only,,,,,
6734,1,Both biological parents,,,,,
6735,1,Anything else,,,,,
6736,4,Both biological parents,,,,,
6738,1,Anything else,,,,,
6739,3,Biological mother only,,,,,
6740,1,Both biological parents,,,,,
6741,1,Biological mother only,,,,,
6742,1,Anything else,,,,,
6743,1,Anything else,,,,,
6744,1,Biological mother only,,,,,
6745,6,Anything else,,,,,
6746,1,Both biological parents,,,,,
6747,3,Both biological parents,,,,,
6748,0,Both biological parents,,,,,
6749,1,Both biological parents,,,,,
6751,1,Both biological parents,,,,,
6752,0,Both biological parents,,,,,
6753,1,Both biological parents,,,,,
6754,2,Anything else,,,,,
6755,2,Biological mother only,,,,,
6756,0,Biological mother only,,,,,
6757,0,Biological mother only,,,,,
6758,1,Both biological parents,,,,,
6759,7,Both biological parents,,,,,
6760,1,Both biological parents,,,,,
6761,1,Both biological parents,,,,,
6762,1,Anything else,,,,,
6763,1,Both biological parents,,,,,
6764,2,Biological mother only,,,,,
6765,4,Biological mother only,,,,,
6766,0,Biological mother only,,,,,
6767,4,Both biological parents,,,,,
6768,3,"Two parents, biological mother",,,,,
6769,2,"Two parents, biological mother",,,,,
6770,1,Anything else,,,,,
6771,4,Both biological parents,,,,,
6772,1,Both biological parents,,,,,
6773,4,Anything else,,,,,
6774,4,"Two parents, biological mother",,,,,
6775,1,Both biological parents,,,,,
6776,0,Biological mother only,,,,,
6777,0,Anything else,,,,,
6778,1,Both biological parents,,,,,
6779,1,Both biological parents,,,,,
6780,4,Both biological parents,,,,,
6782,2,Anything else,,,,,
6783,2,Both biological parents,,,,,
6784,2,Anything else,,,,,
6785,1,Both biological parents,,,,,
6786,3,Both biological parents,,,,,
6787,3,Anything else,,,,,
6788,4,Both biological parents,,,,,
6789,3,Both biological parents,,,,,
6790,7,Both biological parents,,,,,
6791,3,"Two parents, biological mother",,,,,
6792,2,"Two parents, biological mother",,,,,
6793,1,Both biological parents,,,,,
6794,5,Both biological parents,,,,,
6795,1,Both biological parents,,,,,
6797,1,Anything else,,,,,
6798,1,Both biological parents,,,,,
6799,4,Biological mother only,,,,,
6800,5,Anything else,,,,,
6801,5,Biological mother only,,,,,
6802,3,Biological mother only,,,,,
6803,0,Both biological parents,,,,,
6804,1,Both biological parents,,,,,
6805,0,Both biological parents,,,,,
6806,6,Anything else,,,,,
6807,2,Anything else,,,,,
6808,3,Anything else,,,,,
6809,3,Both biological parents,,,,,
6810,1,Both biological parents,,,,,
6811,3,Anything else,,,,,
6812,0,Anything else,,,,,
6814,4,Both biological parents,,,,,
6815,3,Biological mother only,,,,,
6816,0,Biological mother only,,,,,
6820,4,Biological mother only,,,,,
6821,7,Biological mother only,,,,,
6822,2,Both biological parents,,,,,
6823,1,Both biological parents,,,,,
6824,5,Both biological parents,,,,,
6825,1,"No parents, grandparents",,,,,
6826,1,"No parents, grandparents",,,,,
6827,0,Both biological parents,,,,,
6828,0,Biological mother only,,,,,
6829,6,Both biological parents,,,,,
6830,1,Anything else,,,,,
6831,1,Anything else,,,,,
6833,1,Biological mother only,,,,,
6835,1,Both biological parents,,,,,
6838,1,Anything else,,,,,
6839,2,Both biological parents,,,,,
6840,0,Both biological parents,,,,,
6842,5,Biological mother only,,,,,
6844,2,Biological mother only,,,,,
6845,3,Anything else,,,,,
6846,0,Both biological parents,,,,,
6847,2,Anything else,,,,,
6848,7,Anything else,,,,,
6849,2,Biological mother only,,,,,
6850,0,"Two parents, biological father",,,,,
6851,0,Biological mother only,,,,,
6852,4,Anything else,,,,,
6853,2,Anything else,,,,,
6854,3,Biological mother only,,,,,
6855,3,Biological mother only,,,,,
6858,5,Anything else,,,,,
6859,3,Anything else,,,,,
6860,2,Biological mother only,,,,,
6861,4,Biological mother only,,,,,
6862,0,Biological mother only,,,,,
6865,4,"Two parents, biological mother",,,,,
6866,1,"Two parents, biological mother",,,,,
6867,12,Anything else,,,,,
6868,3,"Two parents, biological mother",,,,,
6869,1,Anything else,,,,,
6870,0,Biological mother only,,,,,
6871,3,Biological mother only,,,,,
6872,7,Biological mother only,,,,,
6873,3,Biological mother only,,,,,
6874,0,Anything else,,,,,
6875,3,Anything else,,,,,
6876,4,Biological mother only,,,,,
6877,0,Biological mother only,,,,,
6879,4,Biological mother only,,,,,
6880,4,Anything else,,,,,
6881,3,Anything else,,,,,
6883,3,Biological mother only,,,,,
6884,1,Biological mother only,,,,,
6885,0,Biological mother only,,,,,
6886,0,Both biological parents,,,,,
6889,1,Both biological parents,,,,,
6890,0,Biological mother only,,,,,
6891,7,Both biological parents,,,,,
6892,1,Both biological parents,,,,,
6893,3,Anything else,,,,,
6895,1,Anything else,,,,,
6896,6,Anything else,,,,,
6897,0,Anything else,,,,,
6898,0,Anything else,,,,,
6899,2,Biological mother only,,,,,
6901,2,Anything else,,,,,
6902,5,Anything else,,,,,
6903,2,Biological mother only,,,,,
6904,3,Anything else,,,,,
6905,0,"Two parents, biological mother",,,,,
6906,3,Both biological parents,,,,,
6907,3,Biological mother only,,,,,
6908,1,Biological mother only,,,,,
6909,0,Both biological parents,,,,,
6910,1,Both biological parents,,,,,
6911,6,"Two parents, biological mother",,,,,
6912,1,Anything else,,,,,
6913,0,Both biological parents,,,,,
6914,1,Both biological parents,,,,,
6915,2,Both biological parents,,,,,
6917,1,Biological mother only,,,,,
6918,0,Biological father only,,,,,
6919,0,Biological father only,,,,,
6921,3,Anything else,,,,,
6922,1,"No parents, other relatives",,,,,
6923,11,Anything else,,,,,
6924,1,Biological mother only,,,,,
6925,2,Biological mother only,,,,,
6926,0,Both biological parents,,,,,
6928,0,Both biological parents,,,,,
6929,1,Biological mother only,,,,,
6930,0,Anything else,,,,,
6931,1,Biological mother only,,,,,
6932,1,Anything else,,,,,
6933,2,Both biological parents,,,,,
6934,3,"Two parents, biological mother",,,,,
6935,0,Biological mother only,,,,,
6936,2,Anything else,,,,,
6937,4,Anything else,,,,,
6938,1,Anything else,,,,,
6939,11,Anything else,,,,,
6942,0,Biological father only,,,,,
6943,3,Both biological parents,,,,,
6944,2,Biological mother only,,,,,
6945,0,"No parents, grandparents",,,,,
6949,1,Biological mother only,,,,,
6950,0,Both biological parents,,,,,
6951,0,"Two parents, biological mother",,,,,
6952,1,Biological mother only,,,,,
6953,2,Anything else,,,,,
6954,7,Anything else,,,,,
6955,3,Anything else,,,,,
6956,1,Biological mother only,,,,,
6957,0,Biological mother only,,,,,
6958,1,Both biological parents,,,,,
6959,1,Biological mother only,,,,,
6960,3,Biological mother only,,,,,
6961,4,Biological mother only,,,,,
6962,3,Anything else,,,,,
6963,3,Biological mother only,,,,,
6964,5,Biological mother only,,,,,
6965,0,Anything else,,,,,
6966,1,Both biological parents,,,,,
6967,8,Anything else,,,,,
6968,0,Biological mother only,,,,,
6969,1,Biological mother only,,,,,
6971,6,Anything else,,,,,
6972,1,Biological mother only,,,,,
6973,3,Anything else,,,,,
6974,2,Anything else,,,,,
6975,5,Both biological parents,,,,,
6976,2,"Two parents, biological mother",,,,,
6980,0,"Two parents, biological mother",,,,,
6981,0,Both biological parents,,,,,
6982,7,Both biological parents,,,,,
6983,5,Anything else,,,,,
6985,0,"Two parents, biological mother",,,,,
6987,0,Biological mother only,,,,,
6989,1,Both biological parents,,,,,
6990,2,Both biological parents,,,,,
6991,0,Biological mother only,,,,,
6993,1,Biological mother only,,,,,
6994,5,Biological mother only,,,,,
6995,0,Both biological parents,,,,,
6996,6,Anything else,,,,,
6997,3,Biological mother only,,,,,
6998,0,Biological mother only,,,,,
6999,5,Biological mother only,,,,,
7000,0,Biological mother only,,,,,
7002,1,Anything else,,,,,
7003,0,Biological mother only,,,,,
7004,1,Both biological parents,,,,,
7005,0,Biological mother only,,,,,
7006,2,Biological mother only,,,,,
7008,1,Biological mother only,,,,,
7009,4,Biological mother only,,,,,
7010,0,Both biological parents,,,,,
7012,1,Anything else,,,,,
7013,1,Biological mother only,,,,,
7014,1,Anything else,,,,,
7015,0,Biological mother only,,,,,
7016,0,Biological mother only,,,,,
7017,0,Biological mother only,,,,,
7018,0,Both biological parents,,,,,
7019,3,Biological mother only,,,,,
7020,2,Both biological parents,,,,,
7021,0,Biological mother only,,,,,
7022,1,Anything else,,,,,
7023,2,Both biological parents,,,,,
7024,3,Biological mother only,,,,,
7025,0,Anything else,,,,,
7026,5,Anything else,,,,,
7027,1,"Two parents, biological mother",,,,,
7028,1,Anything else,,,,,
7029,1,Both biological parents,,,,,
7030,1,Both biological parents,,,,,
7031,2,Both biological parents,,,,,
7032,0,Both biological parents,,,,,
7033,0,Both biological parents,,,,,
7034,0,Both biological parents,,,,,
7035,2,Anything else,,,,,
7036,1,Anything else,,,,,
7037,1,Biological mother only,,,,,
7038,1,Both biological parents,,,,,
7039,1,Anything else,,,,,
7041,0,Both biological parents,,,,,
7042,1,Biological mother only,,,,,
7043,3,"Two parents, biological mother",,,,,
7044,6,Biological father only,,,,,
7045,0,Anything else,,,,,
7046,2,Anything else,,,,,
7047,2,Both biological parents,,,,,
7048,0,Biological mother only,,,,,
7049,1,Biological mother only,,,,,
7050,6,Anything else,,,,,
7051,1,Biological mother only,,,,,
7053,2,Biological mother only,,,,,
7054,0,Anything else,,,,,
7055,1,Anything else,,,,,
7056,1,Biological mother only,,,,,
7057,0,Biological mother only,,,,,
7058,1,Both biological parents,,,,,
7059,0,Both biological parents,,,,,
7060,0,Both biological parents,,,,,
7061,1,Both biological parents,,,,,
7062,3,Biological mother only,,,,,
7063,1,Both biological parents,,,,,
7065,2,Biological mother only,,,,,
7067,3,Biological mother only,,,,,
7068,0,Biological mother only,,,,,
7069,0,Biological mother only,,,,,
7070,1,Both biological parents,,,,,
7071,0,"Two parents, biological mother",,,,,
7073,2,Both biological parents,,,,,
7074,0,Both biological parents,,,,,
7075,1,Anything else,,,,,
7076,2,Both biological parents,,,,,
7077,4,Both biological parents,,,,,
7079,3,Biological mother only,,,,,
7080,2,"Two parents, biological mother",,,,,
7081,3,Biological mother only,,,,,
7082,11,Anything else,,,,,
7083,6,Biological mother only,,,,,
7084,4,Anything else,,,,,
7085,4,Anything else,,,,,
7086,0,Biological mother only,,,,,
7087,1,Anything else,,,,,
7088,1,Anything else,,,,,
7089,1,Biological mother only,,,,,
7090,1,Biological mother only,,,,,
7092,2,Biological mother only,,,,,
7093,3,Biological mother only,,,,,
7094,0,Biological mother only,,,,,
7095,2,Biological mother only,,,,,
7096,1,Biological mother only,,,,,
7097,1,Anything else,,,,,
7098,3,Anything else,,,,,
7101,3,Biological mother only,,,,,
7103,2,Anything else,,,,,
7104,0,Biological mother only,,,,,
7107,4,Both biological parents,,,,,
7108,1,Anything else,,,,,
7109,5,Anything else,,,,,
7110,3,Both biological parents,,,,,
7112,5,Anything else,,,,,
7113,0,Both biological parents,,,,,
7115,2,Biological mother only,,,,,
7117,10,Both biological parents,,,,,
7118,1,Both biological parents,,,,,
7119,0,Both biological parents,,,,,
7120,1,Both biological parents,,,,,
7121,1,Both biological parents,,,,,
7122,1,Both biological parents,,,,,
7123,3,Both biological parents,,,,,
7124,3,Anything else,,,,,
7125,3,Anything else,,,,,
7126,3,Both biological parents,,,,,
7127,4,Biological mother only,,,,,
7128,4,Biological mother only,,,,,
7129,3,Both biological parents,,,,,
7130,3,Anything else,,,,,
7131,8,Anything else,,,,,
7132,0,Biological father only,,,,,
7133,0,"Two parents, biological mother",,,,,
7134,8,Anything else,,,,,
7135,3,Biological mother only,,,,,
7136,0,Biological mother only,,,,,
7137,3,Anything else,,,,,
7138,1,Biological mother only,,,,,
7139,1,"No parents, grandparents",,,,,
7140,6,Anything else,,,,,
7141,0,Both biological parents,,,,,
7142,2,Both biological parents,,,,,
7143,0,Both biological parents,,,,,
7144,1,Both biological parents,,,,,
7146,3,Anything else,,,,,
7147,4,Both biological parents,,,,,
7148,1,Both biological parents,,,,,
7149,3,Both biological parents,,,,,
7150,4,Anything else,,,,,
7151,0,Both biological parents,,,,,
7152,0,Both biological parents,,,,,
7154,0,Biological mother only,,,,,
7155,3,Biological mother only,,,,,
7156,1,Both biological parents,,,,,
7157,1,Both biological parents,,,,,
7158,3,Biological mother only,,,,,
7159,1,Biological mother only,,,,,
7160,3,Biological mother only,,,,,
7161,0,Both biological parents,,,,,
7162,3,Adoptive parent(s),,,,,
7164,0,Anything else,,,,,
7165,7,Anything else,,,,,
7166,1,Anything else,,,,,
7167,1,Biological mother only,,,,,
7168,1,Anything else,,,,,
7169,7,Anything else,,,,,
7170,3,Anything else,,,,,
7171,0,Both biological parents,,,,,
7172,3,Both biological parents,,,,,
7173,1,Anything else,,,,,
7174,1,Anything else,,,,,
7175,4,Anything else,,,,,
7176,9,Anything else,,,,,
7177,3,Anything else,,,,,
7178,1,Both biological parents,,,,,
7179,1,Biological mother only,,,,,
7180,3,Both biological parents,,,,,
7181,0,Both biological parents,,,,,
7182,3,Biological mother only,,,,,
7183,0,Both biological parents,,,,,
7184,0,Biological mother only,,,,,
7185,1,Both biological parents,,,,,
7186,0,Both biological parents,,,,,
7187,1,Both biological parents,,,,,
7188,1,Both biological parents,,,,,
7192,0,Both biological parents,,,,,
7193,0,Biological mother only,,,,,
7194,0,"No parents, grandparents",,,,,
7195,1,Biological mother only,,,,,
7196,2,Biological mother only,,,,,
7197,0,Biological mother only,,,,,
7198,3,Both biological parents,,,,,
7199,1,Biological mother only,,,,,
7201,1,Both biological parents,,,,,
7202,1,Both biological parents,,,,,
7203,1,Anything else,,,,,
7204,1,Both biological parents,,,,,
7205,1,"Two parents, biological mother",,,,,
7206,4,Anything else,,,,,
7207,1,"Two parents, biological father",,,,,
7208,8,Biological mother only,,,,,
7209,6,Biological mother only,,,,,
7210,0,Anything else,,,,,
7212,0,Biological mother only,,,,,
7213,4,Biological mother only,,,,,
7214,7,Anything else,,,,,
7215,1,Both biological parents,,,,,
7216,0,Both biological parents,,,,,
7217,3,Anything else,,,,,
7218,1,Biological mother only,,,,,
7219,3,Biological mother only,,,,,
7220,1,Both biological parents,,,,,
7221,4,Anything else,,,,,
7222,1,Both biological parents,,,,,
7224,1,Both biological parents,,,,,
7225,2,"Two parents, biological mother",,,,,
7226,2,Both biological parents,,,,,
7227,4,"No parents, grandparents",,,,,
7229,5,Anything else,,,,,
7230,0,Anything else,,,,,
7231,6,Biological father only,,,,,
7232,1,Both biological parents,,,,,
7234,1,Both biological parents,,,,,
7235,1,Both biological parents,,,,,
7236,1,Biological mother only,,,,,
7237,7,Biological mother only,,,,,
7238,3,Both biological parents,,,,,
7239,0,Both biological parents,,,,,
7240,1,Both biological parents,,,,,
7241,2,Both biological parents,,,,,
7242,0,Both biological parents,,,,,
7243,3,Both biological parents,,,,,
7244,3,Biological mother only,,,,,
7245,5,Both biological parents,,,,,
7246,2,"Two parents, biological mother",,,,,
7247,1,"Two parents, biological mother",,,,,
7248,0,Anything else,,,,,
7249,2,Biological mother only,,,,,
7250,0,Both biological parents,,,,,
7251,0,Biological mother only,,,,,
7252,0,Anything else,,,,,
7253,4,Biological mother only,,,,,
7254,0,"Two parents, biological mother",,,,,
7255,0,"Two parents, biological mother",,,,,
7256,0,Both biological parents,,,,,
7257,1,Both biological parents,,,,,
7258,0,Biological mother only,,,,,
7259,0,Biological mother only,,,,,
7260,1,Biological mother only,,,,,
7261,3,Biological mother only,,,,,
7262,5,Both biological parents,,,,,
7263,1,Biological mother only,,,,,
7264,1,Both biological parents,,,,,
7265,1,Both biological parents,,,,,
7266,2,Both biological parents,,,,,
7267,4,Biological mother only,,,,,
7268,2,Both biological parents,,,,,
7269,5,Biological mother only,,,,,
7270,3,Biological mother only,,,,,
7271,1,Both biological parents,,,,,
7272,0,Both biological parents,,,,,
7274,0,Biological mother only,,,,,
7275,3,"Two parents, biological mother",,,,,
7277,0,"Two parents, biological mother",,,,,
7278,6,Anything else,,,,,
7279,0,Biological mother only,,,,,
7280,0,"Two parents, biological mother",,,,,
7281,4,Anything else,,,,,
7282,2,Biological mother only,,,,,
7283,4,Biological mother only,,,,,
7284,4,Biological mother only,,,,,
7285,0,"No parents, grandparents",,,,,
7286,0,Both biological parents,,,,,
7287,0,Anything else,,,,,
7288,2,Both biological parents,,,,,
7289,2,Biological mother only,,,,,
7290,4,Biological mother only,,,,,
7291,3,"Two parents, biological mother",,,,,
7292,3,Anything else,,,,,
7293,4,"Two parents, biological mother",,,,,
7294,0,Biological mother only,,,,,
7295,1,Biological mother only,,,,,
7296,4,Anything else,,,,,
7297,0,Biological mother only,,,,,
7298,3,Biological mother only,,,,,
7299,2,"Two parents, biological mother",,,,,
7300,0,Both biological parents,,,,,
7301,0,Both biological parents,,,,,
7302,1,Both biological parents,,,,,
7303,0,Both biological parents,,,,,
7304,7,Anything else,,,,,
7305,1,Anything else,,,,,
7306,4,Anything else,,,,,
7307,4,Biological mother only,,,,,
7308,0,Anything else,,,,,
7309,1,"No parents, grandparents",,,,,
7310,5,Biological mother only,,,,,
7311,0,"Two parents, biological mother",,,,,
7312,0,Both biological parents,,,,,
7313,0,Biological mother only,,,,,
7314,0,Biological mother only,,,,,
7315,0,Both biological parents,,,,,
7316,1,Biological mother only,,,,,
7318,3,Anything else,,,,,
7319,3,Anything else,,,,,
7320,0,Anything else,,,,,
7321,1,Anything else,,,,,
7322,2,"No parents, grandparents",,,,,
7323,1,Anything else,,,,,
7325,0,Biological mother only,,,,,
7326,3,Anything else,,,,,
7327,4,Biological mother only,,,,,
7328,1,Biological mother only,,,,,
7329,2,Anything else,,,,,
7332,2,Both biological parents,,,,,
7333,0,Anything else,,,,,
7334,2,Biological mother only,,,,,
7335,6,Biological mother only,,,,,
7336,1,Anything else,,,,,
7337,0,Biological father only,,,,,
7339,1,"Two parents, biological mother",,,,,
7340,5,Anything else,,,,,
7341,0,Both biological parents,,,,,
7342,5,Both biological parents,,,,,
7343,7,Anything else,,,,,
7344,0,Anything else,,,,,
7345,1,Biological mother only,,,,,
7346,4,Anything else,,,,,
7347,5,Anything else,,,,,
7348,1,Both biological parents,,,,,
7349,1,Both biological parents,,,,,
7350,1,Anything else,,,,,
7351,0,Anything else,,,,,
7352,0,Biological mother only,,,,,
7353,0,Anything else,,,,,
7354,3,Anything else,,,,,
7355,5,Anything else,,,,,
7356,3,Biological father only,,,,,
7357,3,Anything else,,,,,
7358,6,Anything else,,,,,
7359,0,Biological mother only,,,,,
7360,0,Biological mother only,,,,,
7361,2,"Two parents, biological father",,,,,
7362,0,Biological mother only,,,,,
7363,2,Biological mother only,,,,,
7364,1,Biological mother only,,,,,
7365,0,Biological mother only,,,,,
7366,5,Biological mother only,,,,,
7368,0,Anything else,,,,,
7369,0,Both biological parents,,,,,
7370,8,Both biological parents,,,,,
7371,1,Both biological parents,,,,,
7372,1,"Two parents, biological mother",,,,,
7373,1,Both biological parents,,,,,
7374,2,"Two parents, biological mother",,,,,
7375,4,"Two parents, biological mother",,,,,
7376,4,Biological mother only,,,,,
7377,2,Anything else,,,,,
7379,3,"Two parents, biological mother",,,,,
7380,3,Anything else,,,,,
7381,0,"Two parents, biological mother",,,,,
7382,8,Biological mother only,,,,,
7383,0,Biological mother only,,,,,
7384,6,Biological mother only,,,,,
7385,3,Biological mother only,,,,,
7386,1,Both biological parents,,,,,
7387,2,Anything else,,,,,
7388,4,Anything else,,,,,
7389,4,Foster parent(s),,,,,
7390,1,Anything else,,,,,
7391,3,Biological mother only,,,,,
7394,1,Both biological parents,,,,,
7395,3,Anything else,,,,,
7396,1,"Two parents, biological mother",,,,,
7397,3,Anything else,,,,,
7398,3,Anything else,,,,,
7399,1,Both biological parents,,,,,
7400,1,Anything else,,,,,
7401,1,Both biological parents,,,,,
7402,3,Anything else,,,,,
7403,0,Both biological parents,,,,,
7404,2,Both biological parents,,,,,
7405,7,Both biological parents,,,,,
7406,7,Anything else,,,,,
7407,4,Both biological parents,,,,,
7409,6,Anything else,,,,,
7410,2,Anything else,,,,,
7411,0,Biological mother only,,,,,
7412,1,Both biological parents,,,,,
7413,0,Both biological parents,,,,,
7414,0,Biological mother only,,,,,
7415,1,Anything else,,,,,
7416,5,Biological mother only,,,,,
7417,1,Biological mother only,,,,,
7418,1,Both biological parents,,,,,
7419,0,Both biological parents,,,,,
7420,1,Anything else,,,,,
7421,2,Both biological parents,,,,,
7422,1,Both biological parents,,,,,
7423,1,Biological mother only,,,,,
7424,6,Biological mother only,,,,,
7425,0,Biological mother only,,,,,
7426,5,Biological mother only,,,,,
7427,5,Biological mother only,,,,,
7428,2,Both biological parents,,,,,
7429,1,Both biological parents,,,,,
7430,3,Biological father only,,,,,
7431,1,Anything else,,,,,
7432,3,Both biological parents,,,,,
7433,1,Biological mother only,,,,,
7434,1,Biological mother only,,,,,
7435,7,Anything else,,,,,
7437,1,Both biological parents,,,,,
7438,3,Anything else,,,,,
7439,0,Anything else,,,,,
7440,6,Anything else,,,,,
7441,8,Anything else,,,,,
7443,1,Anything else,,,,,
7444,4,Anything else,,,,,
7445,1,Anything else,,,,,
7446,3,Anything else,,,,,
7447,1,Both biological parents,,,,,
7448,3,Anything else,,,,,
7449,3,Both biological parents,,,,,
7450,2,Both biological parents,,,,,
7453,3,Both biological parents,,,,,
7454,3,Both biological parents,,,,,
7455,1,Both biological parents,,,,,
7456,1,Both biological parents,,,,,
7457,1,Both biological parents,,,,,
7458,1,Anything else,,,,,
7459,4,Anything else,,,,,
7460,14,Anything else,,,,,
7461,1,Biological mother only,,,,,
7462,5,Anything else,,,,,
7463,1,Anything else,,,,,
7464,1,"Two parents, biological mother",,,,,
7465,3,Anything else,,,,,
7466,0,Both biological parents,,,,,
7467,1,Anything else,,,,,
7468,1,Both biological parents,,,,,
7469,1,Both biological parents,,,,,
7470,2,Anything else,,,,,
7471,1,Both biological parents,,,,,
7472,1,Anything else,,,,,
7473,3,"Two parents, biological mother",,,,,
7474,1,Both biological parents,,,,,
7475,4,Anything else,,,,,
7476,3,Anything else,,,,,
7478,4,Anything else,,,,,
7480,1,Biological mother only,,,,,
7481,7,Both biological parents,,,,,
7482,1,Both biological parents,,,,,
7483,1,Both biological parents,,,,,
7484,4,Both biological parents,,,,,
7485,2,Biological mother only,,,,,
7486,3,Both biological parents,,,,,
7487,1,Anything else,,,,,
7488,1,Anything else,,,,,
7489,3,Anything else,,,,,
7490,3,Anything else,,,,,
7491,2,Both biological parents,,,,,
7492,0,Biological mother only,,,,,
7493,1,Biological mother only,,,,,
7494,3,Both biological parents,,,,,
7495,0,Biological mother only,,,,,
7496,0,Biological mother only,,,,,
7497,2,Biological mother only,,,,,
7498,2,Anything else,,,,,
7499,0,Both biological parents,,,,,
7500,1,Biological father only,,,,,
7501,8,Biological mother only,,,,,
7502,2,"Two parents, biological mother",,,,,
7503,1,"Two parents, biological mother",,,,,
7504,6,"Two parents, biological mother",,,,,
7507,6,Both biological parents,,,,,
7508,3,Anything else,,,,,
7509,1,Both biological parents,,,,,
7510,1,Both biological parents,,,,,
7511,3,Anything else,,,,,
7512,3,Both biological parents,,,,,
7513,4,Biological father only,,,,,
7515,0,Biological mother only,,,,,
7516,2,Biological mother only,,,,,
7517,3,"Two parents, biological mother",,,,,
7519,0,Biological mother only,,,,,
7520,1,Anything else,,,,,
7521,3,Biological mother only,,,,,
7522,3,Anything else,,,,,
7523,3,Both biological parents,,,,,
7524,0,Both biological parents,,,,,
7526,0,Both biological parents,,,,,
7527,1,Biological father only,,,,,
7528,1,Both biological parents,,,,,
7530,3,Anything else,,,,,
7531,1,Biological mother only,,,,,
7532,0,Biological mother only,,,,,
7533,2,Biological father only,,,,,
7534,6,Anything else,,,,,
7535,0,Both biological parents,,,,,
7536,2,Both biological parents,,,,,
7537,4,Biological mother only,,,,,
7539,0,Both biological parents,,,,,
7540,1,Both biological parents,,,,,
7541,7,Anything else,,,,,
7542,3,Biological father only,,,,,
7544,0,Both biological parents,,,,,
7545,0,Both biological parents,,,,,
7546,1,Both biological parents,,,,,
7547,4,Anything else,,,,,
7549,0,Both biological parents,,,,,
7550,0,Both biological parents,,,,,
7551,4,Biological mother only,,,,,
7552,4,Biological mother only,,,,,
7553,0,Both biological parents,,,,,
7554,1,Both biological parents,,,,,
7555,0,Both biological parents,,,,,
