,LCI,top3_3,,,,,
626,0,Biological mother only,,,,,
627,1,"Two parents, biological mother",,,,,
628,7,Both biological parents,,,,,
629,4,Biological mother only,,,,,
630,1,Anything else,,,,,
632,3,Anything else,,,,,
634,5,Both biological parents,,,,,
635,0,Both biological parents,,,,,
636,3,Both biological parents,,,,,
637,1,Both biological parents,,,,,
638,5,"Two parents, biological mother",,,,,
639,1,Both biological parents,,,,,
641,4,Anything else,,,,,
644,0,Both biological parents,,,,,
646,0,Both biological parents,,,,,
647,1,Both biological parents,,,,,
648,1,Both biological parents,,,,,
649,1,Both biological parents,,,,,
650,2,Anything else,,,,,
651,1,Anything else,,,,,
652,1,Both biological parents,,,,,
653,5,Anything else,,,,,
654,6,Both biological parents,,,,,
655,6,Biological mother only,,,,,
656,0,Both biological parents,,,,,
657,3,Both biological parents,,,,,
658,4,Both biological parents,,,,,
659,3,Both biological parents,,,,,
661,3,Both biological parents,,,,,
662,3,Anything else,,,,,
663,3,Biological mother only,,,,,
665,1,Both biological parents,,,,,
666,0,Both biological parents,,,,,
667,1,Both biological parents,,,,,
668,3,Anything else,,,,,
669,0,Both biological parents,,,,,
670,1,Anything else,,,,,
671,1,Both biological parents,,,,,
672,1,Both biological parents,,,,,
673,2,Biological mother only,,,,,
674,2,Biological mother only,,,,,
675,1,Both biological parents,,,,,
676,7,Biological mother only,,,,,
677,0,Biological mother only,,,,,
678,5,"Two parents, biological mother",,,,,
679,4,Biological father only,,,,,
680,6,Anything else,,,,,
681,2,Anything else,,,,,
682,0,Biological mother only,,,,,
683,0,Both biological parents,,,,,
684,0,Anything else,,,,,
685,8,Anything else,,,,,
686,1,Anything else,,,,,
687,3,"Two parents, biological mother",,,,,
688,0,"Two parents, biological mother",,,,,
689,1,Anything else,,,,,
690,5,Both biological parents,,,,,
691,3,Anything else,,,,,
692,1,Anything else,,,,,
693,1,Both biological parents,,,,,
694,1,Both biological parents,,,,,
695,1,Both biological parents,,,,,
697,0,Biological father only,,,,,
698,0,Biological mother only,,,,,
