,LCI,top3_2
700,4,"Never Married, Not Cohabitating"
701,3,Married
702,7,"Never Married, Not Cohabitating"
704,1,"Never Married, Cohabiting"
705,1,Married
706,1,Married
708,7,Married
709,1,"Never Married, Cohabiting"
711,0,"Never Married, Not Cohabitating"
712,5,Divorced
713,2,"Never Married, Not Cohabitating"
714,2,"Never Married, Not Cohabitating"
717,2,"Never Married, Not Cohabitating"
718,3,Married
719,5,Married
720,1,Married
721,0,"Never Married, Not Cohabitating"
722,1,"Never Married, Cohabiting"
724,0,"Never Married, Not Cohabitating"
725,3,"Never Married, Not Cohabitating"
726,0,"Never Married, Not Cohabitating"
727,4,"Never Married, Not Cohabitating"
728,5,Divorced
729,3,"Never Married, Cohabiting"
730,1,Married
731,1,Married
733,0,"Never Married, Not Cohabitating"
734,0,"Never Married, Not Cohabitating"
736,1,Married
737,1,Married
738,0,"Never Married, Not Cohabitating"
739,1,Married
740,3,"Never Married, Cohabiting"
741,1,Married
742,0,"Never Married, Not Cohabitating"
744,1,"Never Married, Not Cohabitating"
745,0,"Never Married, Not Cohabitating"
747,5,"Never Married, Cohabiting"
748,0,"Never Married, Not Cohabitating"
749,5,Divorced
750,1,Married
751,1,"Never Married, Cohabiting"
752,0,"Never Married, Not Cohabitating"
753,1,Married
754,1,Married
756,1,Married
761,1,"Never Married, Cohabiting"
762,1,Married
763,0,"Never Married, Not Cohabitating"
764,1,Married
767,0,"Never Married, Not Cohabitating"
768,11,"Never Married, Cohabiting"
770,1,"Never Married, Not Cohabitating"
772,5,"Never Married, Cohabiting"
773,4,Married
774,1,Married
776,1,Married
777,5,Married
780,5,"Never Married, Cohabiting"
781,0,"Never Married, Not Cohabitating"
782,10,Married
783,1,"Never Married, Not Cohabitating"
787,0,"Never Married, Not Cohabitating"
788,0,"Never Married, Not Cohabitating"
789,1,Married
790,1,Married
791,1,"Never Married, Cohabiting"
792,1,Married
794,1,Married
795,2,"Never Married, Not Cohabitating"
796,1,Married
797,0,"Never Married, Not Cohabitating"
798,3,Married
799,1,Married
800,5,Divorced
801,7,"Never Married, Not Cohabitating"
803,1,Married
804,1,Married
805,6,"Never Married, Cohabiting"
806,1,Married
808,1,Married
810,1,"Never Married, Cohabiting"
811,1,Married
812,6,"Never Married, Not Cohabitating"
814,4,"Never Married, Not Cohabitating"
815,4,"Never Married, Not Cohabitating"
816,1,Married
817,3,Divorced
818,5,"Never Married, Not Cohabitating"
819,4,"Never Married, Not Cohabitating"
820,6,"Never Married, Not Cohabitating"
821,0,"Never Married, Not Cohabitating"
822,1,Married
823,1,Married
824,1,"Never Married, Cohabiting"
826,1,"Never Married, Cohabiting"
828,4,Married
833,1,Married
834,1,Married
835,3,Married
836,11,Divorced
837,1,Married
838,1,Married
839,1,Married
840,0,"Never Married, Not Cohabitating"
841,1,"Never Married, Cohabiting"
842,3,Married
844,1,Married
845,1,"Never Married, Cohabiting"
846,3,Divorced
847,2,"Never Married, Not Cohabitating"
848,0,"Never Married, Not Cohabitating"
849,5,"Never Married, Not Cohabitating"
850,1,Married
851,3,Married
853,2,"Never Married, Cohabiting"
854,1,"Never Married, Cohabiting"
855,1,Married
856,0,"Never Married, Not Cohabitating"
857,0,"Never Married, Not Cohabitating"
858,1,Married
859,1,Married
860,3,Divorced
861,2,Legally Separated
862,9,"Never Married, Cohabiting"
863,2,"Never Married, Not Cohabitating"
864,1,Married
865,0,"Never Married, Not Cohabitating"
866,3,Divorced
868,2,"Never Married, Not Cohabitating"
869,5,Married
871,1,Married
872,1,Married
873,5,Married
874,5,"Never Married, Cohabiting"
876,0,"Never Married, Not Cohabitating"
877,1,Married
879,5,"Never Married, Not Cohabitating"
880,7,"Never Married, Not Cohabitating"
881,2,"Never Married, Not Cohabitating"
882,3,"Never Married, Cohabiting"
883,3,"Never Married, Cohabiting"
888,1,Married
889,4,"Never Married, Not Cohabitating"
890,1,"Never Married, Cohabiting"
891,1,Married
892,1,Married
893,3,Married
895,3,"Never Married, Cohabiting"
899,1,"Never Married, Not Cohabitating"
901,1,Married
902,1,Married
903,3,"Never Married, Cohabiting"
904,3,Divorced
905,3,"Never Married, Cohabiting"
906,7,"Never Married, Cohabiting"
907,3,Divorced
910,4,"Never Married, Not Cohabitating"
911,1,Married
913,3,Married
914,1,"Never Married, Cohabiting"
915,3,Married
916,1,Married
917,0,"Never Married, Not Cohabitating"
918,1,Married
920,5,Married
921,3,"Never Married, Cohabiting"
922,3,"Never Married, Not Cohabitating"
925,0,"Never Married, Not Cohabitating"
927,1,"Never Married, Cohabiting"
928,5,Divorced
929,3,"Never Married, Cohabiting"
930,0,"Never Married, Not Cohabitating"
931,1,"Never Married, Cohabiting"
932,3,Married
933,2,"Never Married, Not Cohabitating"
934,0,"Never Married, Not Cohabitating"
937,5,Married
938,0,"Never Married, Not Cohabitating"
941,0,"Never Married, Not Cohabitating"
943,5,"Never Married, Cohabiting"
949,1,Married
951,0,"Never Married, Not Cohabitating"
953,0,"Never Married, Not Cohabitating"
954,3,"Never Married, Cohabiting"
955,2,"Never Married, Not Cohabitating"
956,2,"Never Married, Not Cohabitating"
957,0,"Never Married, Not Cohabitating"
959,1,Married
960,1,Married
961,5,Married
962,0,"Never Married, Not Cohabitating"
964,1,"Never Married, Cohabiting"
965,0,"Never Married, Not Cohabitating"
966,1,Married
967,3,Married
968,1,"Never Married, Cohabiting"
969,0,"Never Married, Not Cohabitating"
970,3,"Never Married, Cohabiting"
971,4,"Never Married, Not Cohabitating"
972,3,"Never Married, Not Cohabitating"
973,1,Married
974,1,Married
976,1,"Never Married, Not Cohabitating"
977,1,Married
978,1,Married
979,6,"Never Married, Cohabiting"
981,3,Married
982,1,Married
984,5,Divorced
985,3,Married
986,1,"Never Married, Cohabiting"
987,0,"Never Married, Not Cohabitating"
988,3,Married
990,5,Married
991,5,Married
992,1,"Never Married, Cohabiting"
993,2,"Never Married, Not Cohabitating"
994,1,Married
995,0,"Never Married, Not Cohabitating"
996,0,"Never Married, Not Cohabitating"
997,9,"Never Married, Cohabiting"
998,0,"Never Married, Not Cohabitating"
1000,2,"Never Married, Not Cohabitating"
1001,1,Married
1002,1,"Never Married, Cohabiting"
1003,0,"Never Married, Not Cohabitating"
1004,0,"Never Married, Not Cohabitating"
1005,1,Married
1006,3,"Never Married, Cohabiting"
1007,1,Married
1008,1,Married
1009,1,Married
1010,1,Married
1011,1,Married
1016,1,Married
1017,0,"Never Married, Not Cohabitating"
1018,1,Married
1019,1,Married
1020,1,Married
1022,1,"Never Married, Cohabiting"
1023,5,"Never Married, Cohabiting"
1024,4,Divorced
1025,0,"Never Married, Not Cohabitating"
1027,4,Married
1028,4,Married
1029,1,Married
1030,0,"Never Married, Not Cohabitating"
1031,6,"Never Married, Not Cohabitating"
1032,0,"Never Married, Not Cohabitating"
1033,0,"Never Married, Not Cohabitating"
1034,1,Married
1035,7,Married
1036,5,"Never Married, Not Cohabitating"
1037,4,"Never Married, Not Cohabitating"
1038,0,"Never Married, Not Cohabitating"
1039,4,"Never Married, Not Cohabitating"
1040,1,"Never Married, Cohabiting"
1042,0,"Never Married, Not Cohabitating"
1043,8,"Never Married, Not Cohabitating"
1044,2,"Never Married, Not Cohabitating"
1045,8,Legally Separated
1046,0,"Never Married, Not Cohabitating"
1047,3,Married
1048,0,"Never Married, Not Cohabitating"
1051,2,"Never Married, Not Cohabitating"
1052,5,"Never Married, Not Cohabitating"
1053,5,Divorced
1054,0,"Never Married, Not Cohabitating"
1055,2,"Never Married, Not Cohabitating"
1057,2,"Never Married, Not Cohabitating"
1058,0,"Never Married, Not Cohabitating"
1060,1,"Never Married, Cohabiting"
1061,2,"Never Married, Not Cohabitating"
1063,2,"Never Married, Not Cohabitating"
1064,0,"Never Married, Not Cohabitating"
1065,3,Married
1066,5,"Never Married, Not Cohabitating"
1069,1,Married
1070,2,Married
1072,0,"Never Married, Not Cohabitating"
1078,1,Married
1079,0,"Never Married, Not Cohabitating"
1080,1,Married
1082,2,"Never Married, Not Cohabitating"
1083,5,Married
1084,1,"Never Married, Cohabiting"
1085,1,Married
1089,1,Married
1090,3,Married
1091,0,"Never Married, Not Cohabitating"
1092,0,"Never Married, Not Cohabitating"
1093,1,Married
1094,0,"Never Married, Not Cohabitating"
1095,9,Legally Separated
1096,4,"Never Married, Not Cohabitating"
1097,3,"Never Married, Cohabiting"
1098,5,"Never Married, Cohabiting"
1099,12,"Never Married, Not Cohabitating"
1100,1,"Never Married, Not Cohabitating"
1101,3,"Never Married, Cohabiting"
1103,1,Married
1104,0,"Never Married, Not Cohabitating"
1105,6,"Never Married, Not Cohabitating"
1106,1,Married
1107,1,Married
1109,0,"Never Married, Not Cohabitating"
1110,1,Married
1111,1,"Never Married, Cohabiting"
1114,1,Married
1115,0,"Never Married, Not Cohabitating"
1116,2,"Never Married, Not Cohabitating"
1117,0,"Never Married, Not Cohabitating"
1121,1,Married
1122,0,"Never Married, Not Cohabitating"
1123,5,"Never Married, Not Cohabitating"
1124,1,Married
1125,0,"Never Married, Not Cohabitating"
1126,0,"Never Married, Not Cohabitating"
1127,1,Married
1128,2,"Never Married, Not Cohabitating"
1129,1,"Never Married, Cohabiting"
1130,1,Married
1131,1,Married
1133,1,Married
1136,1,"Never Married, Cohabiting"
1138,0,"Never Married, Not Cohabitating"
1140,0,"Never Married, Not Cohabitating"
1141,1,Married
1142,1,"Never Married, Not Cohabitating"
1143,7,Divorced
1144,2,"Never Married, Not Cohabitating"
1145,0,"Never Married, Not Cohabitating"
1146,1,"Never Married, Cohabiting"
1147,1,Married
1148,0,"Never Married, Not Cohabitating"
1149,3,"Never Married, Cohabiting"
1150,7,Married
1151,1,Married
1152,1,Married
1153,6,Married
1156,1,Married
1157,2,"Never Married, Not Cohabitating"
1158,0,"Never Married, Not Cohabitating"
1159,1,Married
1161,3,Married
1162,1,Married
1163,1,Married
1165,1,Married
1167,3,"Never Married, Cohabiting"
1169,1,Married
1171,2,"Never Married, Not Cohabitating"
1173,3,Divorced
1175,1,"Never Married, Not Cohabitating"
1176,1,"Never Married, Cohabiting"
1180,3,Married
1181,1,Married
1182,1,"Never Married, Cohabiting"
1183,4,"Never Married, Not Cohabitating"
1184,0,"Never Married, Not Cohabitating"
1185,0,"Never Married, Not Cohabitating"
1186,0,"Never Married, Not Cohabitating"
1187,0,"Never Married, Not Cohabitating"
1188,5,"Never Married, Cohabiting"
1189,4,Divorced
1191,2,"Never Married, Not Cohabitating"
