LCI,R3500900,E7013407,S1542000,E8013403,R1487700,R2602100,S3594800,T6216501,S0921200,R0070700
3,0.52082009,4,10,99,0,0,1.8549,2,3,1
1,0,2,1,0,1,0,0,2,4,1
1,0,1.354122,10,34.8614,1,0,0,3.281388,4,2
0,0,0,1,0,0,0,0,3.281388,4,2
1,0,2,4,0,0,0,1,1,3,3
0,0,0,4,0,0,0,1.8549,2,3,1
4,1,0,5,99,3,2,0,2,4,2
4,1,1.354122,4,34.8614,4,3,1.8549,3.281388,4,3
4,1,0,10,0,2,2,1.8549,5,3,1
1,0,1,1,99,3,1,0,4,3,1
0,0,0,4,0,0,0,1,5,4,1
0,0.52082009,0,4.8714,99,0,1.0778,1.8549,6,3.5490221,3
2,1,0,10,0,0,1,0,1,4,2
3,1,2,1,0,0,2,0,1,4,1
5,1,2,10,99,2,3,1,2,4,1
0,0.52082009,1.354122,5,34.8614,2,1.0778,1.8549,3.281388,4,1
0,0.52082009,0,1,0,2,1,0,2,4,1
1,1,2,2,99,4,2,1,2,4,1
1,0.52082009,1,1,99,5,3,0,3,3,3
1,0,1,3,0,1,2,0,1,4,2
4,0.52082009,2,10,0,1,2,0,5,3,1
1,0.52082009,1,1,0,1,3,3,4,4,1
1,0,2,1,0,2,1,3,5,3,3
6,1,0,5,0,0,1,1.8549,3,1,1
3,0,1,4,99,0,0,0,1,4,1
5,0.52082009,4,4,0,0,0,2,5,3,1
2,0,0,10,99,4,1,0,6,4,4
0,0,1.354122,4,34.8614,0,0,3,3.281388,4,2
0,0.52082009,1.354122,2,34.8614,0,0,1.8549,3.281388,3,3
1,1,1,2,99,3,1,1.8549,7,3,3
0,0.52082009,0,4.8714,0,0,1,0,5,3.5490221,1
1,0,0,3,0,6,3,0,6,4,2
1,0,2,4.8714,0,0,0,1.8549,1,3.5490221,1
1,0.52082009,2,4.8714,0,0,1.0778,1.8549,1,3.5490221,5
1,0,2,10,0,0,0,8,1,4,2
3,0,4,1,0,0,0,0,4,3,2
1,0.52082009,2,1,0,0,0,0,1,3,2
5,1,4,1,99,3,3,1,7,4,2
5,1,4,4,99,2,3,0,6,4,3
1,1,2,10,0,1,2,1.8549,1,4,2
4,0,2,10,99,0,1,1,2,4,1
5,0,1,1,0,4,0,0,6,4,2
0,0.52082009,0,10,99,0,1.0778,1.8549,1,3,1
2,1,3,10,99,0,3,1,4,4,1
1,0,0,1,0,0,1,0,1,3,2
0,0,0,1,99,0,2,0,1,2,1
0,0.52082009,1.354122,4.8714,34.8614,0,0,1.8549,3.281388,3.5490221,1
